Name,ChildPop2001,ChildPop2011,Literacy Rate,WPR,ChildPopGrowth,RiskScore
Adilabad,376768,309992,61.01,48.29,-0.17723373534907425,0.1783105058603703
Agra,660605,673955,71.58,31.45,0.020208748041567956,0.2267594992166272
Ahmadabad,769666,842518,85.31,35.97,0.09465404474148527,0.18520961789659413
Ahmadnagar,589706,556014,79.05,48.53,-0.05713355468657263,0.13947057812537095
Aizawl,46223,52357,97.89,43.63,0.132704497760855,0.130853799104342
Ajmer,373686,381167,69.33,40.79,0.02001948159684869,0.22627579263873945
Akola,235835,211080,88.05,42.35,-0.1049674560603812,0.08455301757584754
Alappuzha,226408,192046,95.72,37.81,-0.15177025546800466,0.03446389781279815
Aligarh,562946,574509,67.52,31.97,0.020540158381088063,0.24575606335243527
Allahabad,899583,885355,72.32,35.47,-0.015816217069464407,0.20397351317221424
Almora,97368,80082,80.47,47.9,-0.17753265960069017,0.08525093615972394
Alwar,581916,587959,70.72,46.5,0.010384660328982189,0.2088978641315929
Ambala,134369,127689,81.75,32.98,-0.04971384768808282,0.14813846092476685
Ambedkar Nagar,393180,339229,72.23,32.84,-0.13721705071468537,0.1590011797141258
Amravati,357834,311391,87.38,42.8,-0.12978923187846877,0.07730030724861253
Amreli,198657,173555,74.25,43.4,-0.12635849730943285,0.14097660107622684
Amritsar,429025,419018,72.04,35.425,-0.02332498106170969,0.2023680075753161
Anand,255231,254008,84.37,40.37,-0.004791737680767618,0.14466330492769297
Anantapur,479853,445956,63.57,49.89,-0.07064038361748286,0.2067398465530068
Anantnag,177120,208538,62.69,36.13,0.1773825654923216,0.32668502619692863
Andaman Islands,39391,36489,86.52,38.595,-0.07367165088471986,0.10892133964611207
Anugul,163943,152403,77.53,41.33,-0.07039031858633793,0.1501038725654648
Araria,474181,577886,53.53,38.05,0.21870340650511091,0.38487736260204436
Ariyalur,89099,81187,71.34,47.67,-0.08880009876654059,0.16484396049338373
Auraiya,214780,200517,78.95,32.04,-0.06640748673060806,0.15602900530775676
Aurangabad,398602,455394,70.32,32.98,0.1424779604718491,0.2798791841887397
Aurangabad,467934,532659,79.02,42.55,0.13832078882919385,0.22497231553167754
Azamgarh,796410,706085,70.93,29.74,-0.11341520071320049,0.17848191971471977
Badgam,97534,155202,56.08,28.51,0.5912604835236943,0.5331081934094777
Bagalkot,264872,271908,68.82,43.29,0.02656377420036848,0.22834150968014738
Bageshwar,41206,35560,80.01,47.57,-0.1370188807455225,0.10406044770179099
Baghpat,205254,194979,72.01,31.98,-0.05005992575053349,0.19595202969978656
Bahraich,487118,654794,49.36,33.03,0.34422049688165907,0.46112419875266364
Balaghat,230908,212931,77.09,52.48,-0.07785351741819253,0.13585059303272295
Balangir,191674,216320,64.72,43.7,0.1285829063931467,0.28833716255725866
Baleshwar,296087,288672,79.79,40.19,-0.025043314971613072,0.15876267401135474
Ballia,516976,471852,70.94,31.47,-0.08728451610906503,0.18681019355637396
Balrampur,339432,394710,49.51,35.38,0.1628544156119635,0.3850377662447854
Banas Kantha,468394,510310,65.32,40.01,0.0894887637330965,0.2742475054932387
Banda,303479,294972,66.67,39.0,-0.02803159361932786,0.2219713625522688
Bangalore,772540,1052837,87.67,44.14,0.36282522587827165,0.27134609035130863
Bangalore Rural,225618,214903,73.575,47.75,-0.04749177813826911,0.17054328874469232
Banka,327903,375282,58.17,37.9,0.14449090127263245,0.333100360509053
Bankura,458882,418650,70.26,40.77,-0.08767395539594057,0.17875841784162377
Banswara,315240,325283,56.33,50.99,0.031858266717421646,0.2811713066869686
Barabanki,514820,519867,61.75,36.58,0.009803426440309234,0.2636253705761237
Baramula,185169,226335,60.455,34.125,0.22231583040357727,0.3577923321614309
Baran,189559,182665,66.66,45.19,-0.03636862401679688,0.21125655039328126
Barddhaman,903438,832033,76.21,37.72,-0.0790369676723804,0.15731321293104789
Bareilly,719217,701416,58.49,31.52,-0.024750527309560257,0.2715237890761759
Bargarh,174490,162922,74.62,51.45,-0.06629606281162244,0.153565574875351
Barmer,435835,501522,56.53,46.18,0.1507152936317643,0.33352611745270566
Barpeta,308949,287829,63.81,33.17,-0.06836079741316528,0.2265636810347339
Barwani,237771,265299,49.08,47.18,0.11577526275281678,0.3541101051011268
Bastar,232205,240071,51.51,51.125,0.03387523955125859,0.3049520958205034
Basti,406881,390969,67.22,31.8,-0.03910725740449911,0.22354109703820033
Bathinda,149358,151145,68.28,39.61,0.011964541571258319,0.22950981662850334
Baudh,61042,61847,71.61,49.75,0.013187641296156745,0.2018470565184627
Begusarai,481118,545965,63.87,31.58,0.13478398230787458,0.3094415929231499
Belgaum,624031,626269,73.48,44.05,0.0035863602929982643,0.1958705441171993
Bellary,319086,344152,67.43,45.54,0.07855562450248522,0.25311024980099406
Betul,234885,211433,68.9,49.96,-0.09984460480660749,0.16939015807735697
Bhadrak,192647,184560,82.78,31.11,-0.04197833342849876,0.1485326666286005
Bhagalpur,472126,546382,63.14,32.38,0.1572800481227469,0.32098401924909875
Bhandara,154051,126025,83.76,49.76,-0.18192676451305087,0.06546929419477963
Bharatpur,428181,436165,70.11,42.03,0.01864632013097265,0.22049452805238906
Bharuch,194025,179103,81.51,40.43,-0.07690761499806725,0.12947295400077308
Bhavnagar,401780,381470,75.52,39.95,-0.05055005226741002,0.169343979093036
Bhilwara,359615,361683,61.37,47.67,0.005750594385662444,0.2505202377542649
Bhind,254887,248230,75.26,30.58,-0.026117455970685047,0.19160901761172594
Bhiwani,224226,212011,75.21,38.12,-0.054476287317260265,0.17145748507309588
Bhojpur,423242,459187,70.47,30.15,0.08492777181848682,0.2595351087273947
Bhopal,288916,304713,80.37,36.59,0.0546767918703014,0.1921867167481205
Bid,335283,352890,76.99,48.57,0.05251384651175276,0.19316953860470112
Bidar,241517,224442,70.51,41.25,-0.07069895700923745,0.18377241719630497
Bijapur,286831,318406,67.15,42.61,0.11008224355108061,0.27058089742043223
Bijnor,615829,564230,68.48,29.54,-0.083787869684604,0.20233285212615837
Bikaner,326680,400554,65.13,41.72,0.22613566793192114,0.32776626717276847
Bilaspur,348030,407835,70.78,45.17,0.17183863460046547,0.2747874538401862
Bilaspur,42890,41956,84.59,53.9,-0.02177663791093495,0.12057734483562602
Birbhum,488193,448485,70.68,38.02,-0.08133668446700383,0.1825773262131984
Bishnupur,31191,31303,75.85,46.31,0.003590779391491135,0.18178431175659646
Bokaro,291148,293786,72.01,33.23,0.009060683913336172,0.2181002735653344
Bongaigaon,163401,189607,66.645,37.415,0.16037845545620896,0.2993573821824836
Budaun,646756,664909,51.29,30.08,0.028067772080970256,0.3289391088323881
Bulandshahr,542329,549796,68.88,33.53,0.013768395199224088,0.23464735807968964
Buldana,340294,332125,83.4,47.16,-0.024005712707247263,0.13348571491710104
Bundi,174851,159884,61.52,47.36,-0.08559859537549114,0.2136325618498035
Buxar,271849,295127,70.14,31.55,0.08562841871774404,0.25971936748709756
Cachar,229219,256774,79.34,35.01,0.12021254782544205,0.2252410191301768
Central,80480,62739,85.14,35.61,-0.22043986083499006,0.06042005566600395
Chamarajanagar,114937,100648,61.43,47.19,-0.12432027980545864,0.19877988807781655
Chamba,69579,70359,72.17,56.65,0.01121027896348036,0.19008811158539213
Chamoli,55710,52161,82.65,46.2,-0.06370490037695208,0.12235803984921917
Champawat,39939,37028,79.83,38.35,-0.0728861513808558,0.14164153944765767
Champhai,18433,20645,95.91,47.99,0.1200021700211577,0.1300448680084631
Chandauli,328365,309597,71.48,33.42,-0.05715590882097666,0.19392963647160932
Chandel,16135,17187,71.11,52.88,0.06519987604586303,0.2212959504183452
Chandigarh,115613,119434,86.05,38.29,0.0330499165318779,0.15423196661275118
Chandrapur,279490,231316,80.01,48.0,-0.172363948620702,0.08940642055171917
Changlang,25486,25869,59.8,42.48,0.015027858432080357,0.26799514337283215
Chatra,166367,195321,60.18,38.13,0.1740369183792459,0.3349947673516983
Chennai,433340,459324,90.18,39.11,0.05996215442839341,0.14418886177135734
Chhatarpur,289345,282794,63.74,42.66,-0.022640792133957734,0.23379968314641691
Chhindwara,298484,272289,71.16,45.82,-0.08776014794762868,0.16834394082094853
Chikmagalur,138644,105328,79.25,49.72,-0.2402988950116846,0.06381644199532616
Chitradurga,199535,184280,73.71,51.62,-0.07645275264991104,0.15366689894003557
Chitrakoot,161968,175311,65.05,39.75,0.08238047021633903,0.2730121880865356
Chittaurgarh,311367,212507,61.71,51.98,-0.3175031393821439,0.11441474424714246
Chittoor,485584,444572,71.53,46.32,-0.08445912550660647,0.16728834979735735
Churachandpur,30879,37445,82.78,44.74,0.2126364195731727,0.23402256782926906
Churu,383914,317813,66.75,44.27,-0.17217658121350093,0.1576053675145996
Coimbatore,445317,560683,1487728.0,143421.0,0.2590648908530328,-7312.495974043659
Cuddalore,284964,279950,78.04,44.89,-0.017595205008351933,0.16450191799665914
Cuddapah,340663,331586,67.3,45.81,-0.026645100876819615,0.21132995964927218
Cuttack,286820,271816,85.5,35.68,-0.05231155428491737,0.12585937828603305
Dadra & Nagar Haveli,40199,50895,76.24,45.73,0.26607627055399385,0.28560250822159755
Dakshin Dinajpur,246034,188135,72.82,41.94,-0.235329263435135,0.10600429462594602
Dakshina Kannada,228060,208297,88.57,47.75,-0.08665702008243445,0.08290119196702625
Daman,13024,20458,88.07,55.2,0.5707923832923832,0.3393409533169533
Damoh,195984,191968,69.73,45.45,-0.02049146869132174,0.2025594125234713
Dantewada,133066,122132,41.49,53.21,-0.08216975034945065,0.3041280998602197
Darbhanga,662205,725482,56.56,31.08,0.09555500184988032,0.3294380007399521
Darjiling,204643,193169,79.56,37.02,-0.05606837272713946,0.1512606509091442
Darrang,268762,269682,64.245,38.24,0.0034231029684255957,0.24710524118737018
Datia,108451,110114,72.63,40.82,0.01533411402384487,0.20852564560953796
Dausa,264978,258144,68.16,41.88,-0.02579082036999298,0.21225967185200278
Davanagere,240275,217731,75.74,44.99,-0.09382582457600666,0.14492967016959735
Debagarh,42352,39917,72.57,52.94,-0.05749433320740461,0.16513826671703818
Dehradun,172486,201652,84.25,34.35,0.1690919842769848,0.22201679371079389
Deoghar,227752,268453,64.85,36.96,0.17870754153640803,0.3158510166145632
Deoria,515597,464516,71.13,28.26,-0.09907156170419922,0.18503537531832034
Dewas,231195,229339,69.35,47.49,-0.008027855273686714,0.20692085789052536
Dhalai,47902,56011,85.72,41.2,0.1692831197027264,0.20681724788109057
Dhamtari,116514,101909,78.36,50.38,-0.12534974337847812,0.11327610264860877
Dhanbad,384265,551017,61.67,38.195,0.4339505289318569,0.4317302115727428
Dhar,338623,359949,59.0,47.03,0.06297859271224931,0.2855554370848997
Dharmapuri,386575,385263,70.0,48.275,-0.0033939080385436203,0.20471243678458256
Dharwad,218262,219942,80.0,42.49,0.00769717128955109,0.1680908685158204
Dhaulpur,220261,217613,69.08,43.37,-0.012022101052841856,0.2115631595788633
Dhemaji,99545,104247,72.7,46.17,0.04723491888090813,0.21452996755236325
Dhenkanal,145857,139096,78.76,36.51,-0.0463536203267584,0.1595985518692966
Dhubri,340182,368262,58.34,34.36,0.08254404994973279,0.3117536199798931
Dhule,255231,273507,72.8,45.66,0.07160572187547751,0.22441028875019103
Dibang Valley,10424,9093,66.615,42.85,-0.1276861089792786,0.1777535564082886
Dibrugarh,172631,163210,76.05,42.26,-0.05457304887302976,0.16241878045078811
Dimapur,46929,50898,84.79,39.95,0.08457457009525027,0.17889782803810006
Dindigul,218918,216576,76.26,51.17,-0.010698069596835344,0.16826877216126584
Dindori,97506,111820,63.9,55.35,0.14680122248887248,0.285580488995549
Diu,7554,6476,83.46,30.25,-0.14270585120465978,0.10600965951813612
Doda,119031,165728,58.38333333,34.59,0.3923095664154716,0.4351758265821887
Dohad,333948,414798,58.82,46.97,0.24210356103345432,0.3581414244133817
Dumka,318436,350442,62.805,44.285,0.10050999258877764,0.28559799703551103
Dungarpur,231647,242239,59.46,46.2,0.04572474497835068,0.2774418979913403
Durg,438094,430536,79.06,44.76,-0.01725200527740622,0.1598991978890375
East,205573,194357,89.31,33.91,-0.05455969412325549,0.1087961223506978
East District,31410,27984,83.85,49.25,-0.10907354345749762,0.09479058261700099
East Garo Hills,51182,58071,73.95,39.66,0.13459810089484583,0.2512872403579383
East Godavari,613490,522054,70.99,40.62,-0.14904236417871522,0.15088705432851393
East Kameng,12060,14626,60.02,40.3,0.21276948590381425,0.34865179436152566
East Khasi Hills,115169,139055,84.15,39.57,0.20739956064565987,0.23155582425826393
East Nimar,309511,331009,65.375,45.06,0.06945795141368158,0.2599111805654726
East Siang,15780,12955,72.54,40.54,-0.17902408111533588,0.13155036755386562
Ernakulam,338924,304242,95.89,38.06,-0.10232972583824103,0.05312410966470359
Erode,252843,195213,72.58,53.1,-0.22792800275269634,0.09672479889892144
Etah,556441,532986,65.915,31.84,-0.04215181843178342,0.22853927262728657
Etawah,237193,227470,78.41,31.99,-0.040991934837874645,0.16884722606485014
Faizabad,382447,360082,68.73,33.64,-0.05847869116505032,0.20633652353397985
Faridabad,381337,429449,75.51,30.85,0.1261666190272646,0.2509986476109058
Faridkot,73742,69311,69.55,35.88,-0.06008787393886794,0.19906885042445283
Farrukhabad,288157,302612,69.04,31.42,0.050163626078838966,0.25096945043153557
Fatehabad,129744,121024,67.92,39.18,-0.06720927364656555,0.20008429054137378
Fatehgarh Sahib,66374,63271,79.35,35.79,-0.04675023352517552,0.15747190658992977
Fatehpur,421136,390089,67.43,40.41,-0.07372202803844839,0.1983551887846206
Firozabad,400407,382319,71.92,30.48,-0.04517403541896121,0.20013838583241547
Firozpur,257754,248103,68.92,37.29,-0.037442677902185806,0.20945892883912565
Gadag,137835,132442,75.12,46.57,-0.039126491819929624,0.1678894032720281
Gadchiroli,154744,120272,74.36,54.45,-0.22276792638163675,0.08862482944734526
Gajapati,92686,86984,53.49,50.87,-0.06151953908896705,0.25759618436441317
Gandhinagar,185696,167377,84.16,38.44,-0.09865048250904704,0.11044380699638118
Ganganagar,298165,255475,69.64,46.35,-0.14317575838881155,0.15283769664447536
Ganjam,475464,420158,71.09,42.55,-0.11632005788030218,0.16117997684787908
Garhwa,226883,239664,60.33,43.2,0.05633299982810523,0.2811091999312421
Garhwal,101255,83901,82.02,39.89,-0.1713890672065577,0.08988037311737694
Gautam Buddha Nagar,218359,246598,80.12,34.53,0.12932372835559788,0.22571749134223917
Gaya,687369,783059,63.67,37.89,0.13921198075560579,0.3046007923022423
Ghaziabad,566447,681231,78.07,32.48,0.20263855223877963,0.2673434208955119
Ghazipur,611330,558559,71.78,33.27,-0.08632162661737523,0.1810033493530499
Giridih,404811,460251,63.14,42.38,0.13695280019564685,0.30085312007825876
Goalpara,159133,171657,67.37,35.96,0.07870146355564214,0.26495258542225686
Godda,204371,241784,56.4,42.04,0.18306413336530133,0.35205765334612055
Golaghat,142970,134793,77.43,44.98,-0.05719381688466112,0.1514824732461355
Gonda,536566,572386,58.71,34.09,0.06675786389745157,0.30398714555898065
Gondiya,171191,140365,84.95,50.31,-0.18006787740009697,0.05984084903996119
Gopalganj,433668,449530,65.47,28.42,0.036576367174889546,0.2662705468699559
Gorakhpur,694213,628442,70.83,30.44,-0.09474181555228726,0.1855912737790851
Gulbarga,536454,555651,58.34,44.5,0.03578498808844747,0.28088199523537893
Gumla,248576,268061,66.86,47.845,0.07838648944387229,0.2530125957775489
Guna,326684,345964,64.825,39.39,0.059017276634301036,0.2651789106537204
Guntur,538285,495729,67.4,48.73,-0.07905849131965409,0.18638060347213833
Gurdaspur,280149,253579,79.95,32.94,-0.09484238744382453,0.13877504502247018
Gurgaon,333417,450730,69.39,31.295,0.351850685477945,0.37011427419117804
Gwalior,255076,261418,76.65,33.73,0.02486317803321363,0.20154927121328542
Hailakandi,100976,111278,74.33,32.5,0.10202424338456663,0.24502569735382668
Hamirpur,50699,48548,88.15,53.2,-0.042426872324897925,0.0960692510700408
Hamirpur,188740,154355,68.77,40.18,-0.18218183744834163,0.14881526502066336
Hanumangarh,256102,234226,67.13,47.07,-0.08541909083099702,0.1871243636676012
Haora,513218,522802,83.31,37.52,0.01867432553028148,0.16255773021211256
Harda,86990,84191,72.5,40.49,-0.03217611219680423,0.1905415551212783
Hardoi,660875,652496,64.57,32.23,-0.01267864573482126,0.24631654170607153
Hardwar,262894,285693,73.43,30.58,0.08672316599085562,0.2455292663963422
Hassan,199665,165637,76.07,50.87,-0.17042546264993866,0.10564981494002457
Hathras,255055,248106,71.59,30.94,-0.02724510399717708,0.20834195840112918
Haveri,203712,195317,77.4,45.7,-0.04121013980521521,0.1571559440779139
Hazaribagh,424446,416089,71.46,35.305,-0.01968919485635393,0.20675032205745847
Hingoli,167098,165716,78.17,48.34,-0.008270595698332715,0.16346776172066685
Hisar,237820,215167,72.89,39.66,-0.09525271213522832,0.16443491514590866
Hoshangabad,175882,164602,75.29,38.51,-0.06413390796101932,0.16674243681559225
Hoshiarpur,184223,168331,84.59,31.5,-0.08626501576893222,0.12166199369242713
Hugli,603258,533210,81.8,39.01,-0.11611615593991294,0.11410153762403485
Hyderabad,486084,469126,83.25,35.84,-0.03488697426782202,0.14343721029287115
Idukki,134177,105641,91.99,46.56,-0.21267430334558085,0.017506278661767675
Imphal East,55622,59936,81.95,42.72,0.07755923914997663,0.18639969565999065
Imphal West,56400,61875,86.08,41.2,0.09707446808510638,0.17620578723404254
Indore,369546,421380,80.87,38.7,0.14026399961033267,0.22148959984413302
Jabalpur,306656,296565,81.07,40.82,-0.03290657935928206,0.14871736825628717
Jagatsinghapur,124550,110249,86.59,35.5,-0.11482135688478523,0.09583945724608589
Jaintia Hills,67409,90911,61.64,39.02,0.3486478066726995,0.39676312266907976
Jaipur,919392,929926,75.51,37.2,0.011457571960600049,0.19749502878423997
Jaisalmer,112026,130463,57.22,43.13,0.16457786585256995,0.339419146341028
Jajapur,218371,216804,80.13,30.22,-0.007175861263629328,0.1762416554945483
Jalandhar,230155,226302,82.48,35.31,-0.016740892007560123,0.1550276431969759
Jalaun,242309,231997,73.75,36.73,-0.042557230643517165,0.1849011077425931
Jalgaon,525668,532005,78.2,44.06,0.012055137463189694,0.17659005498527586
Jalna,261386,287338,71.52,47.52,0.09928611325778733,0.23939444530311493
Jalor,311090,316455,54.86,49.03,0.017245813108746667,0.2847343252434987
Jalpaiguri,521287,461700,73.25,39.06,-0.11430747361817963,0.1558050105527281
Jammu,198825,206032,82.43,31.125,0.036247956745882055,0.1814851826983528
Jamnagar,274268,263972,73.65,39.23,-0.03753992445345428,0.18438803021861827
Jamui,276379,324513,59.79,41.33,0.1741593970598345,0.3330757588239338
Janjgir - Champa,224792,224218,73.07,52.26,-0.002553471653795509,0.18553061133848184
Jashpur,122934,122266,67.92,57.22,-0.0054338100118762915,0.20314647599524946
Jaunpur,783771,676216,71.55,31.98,-0.13722758305678573,0.16329296677728566
Jehanabad,294345,326626,67.115,33.095,0.10967062460717865,0.2820022498428715
Jhabua,319601,359830,39.7,50.285,0.12587257236366595,0.39944702894546635
Jhajjar,131740,120051,80.65,34.07,-0.08872779717625626,0.13650488112949744
Jhalawar,209299,208205,61.5,48.61,-0.0052269719396652635,0.2443772112241339
Jhansi,280589,260373,75.05,40.77,-0.07204844095812737,0.16201662361674907
Jharsuguda,66859,64794,78.86,42.74,-0.03088589419524671,0.15782964232190133
Jhunjhunun,335259,288470,74.13,41.86,-0.13956075750389996,0.13811969699844
Jind,187560,168554,71.44,39.23,-0.10133290680315632,0.16947883727873753
Jodhpur,557374,606490,65.94,40.4,0.08812036442317008,0.27025614576926804
Jorhat,133888,124594,82.15,45.65,-0.06941622848948374,0.1231335086042065
Junagadh,369691,311930,75.8,40.97,-0.15624129340449186,0.12449948263820323
Jyotiba Phule Nagar,302245,300231,63.84,32.56,-0.006663468378302371,0.251830612648679
Kachchh,254448,318412,70.59,37.1,0.2513833867823681,0.3172013547129472
Kaimur (Bhabua),269812,299281,69.34,31.43,0.10922049427008436,0.27314019770803377
Kaithal,145487,139393,69.15,34.8,-0.041886903984548446,0.2095652384061806
Kalahandi,217889,222570,59.22,47.69,0.02148341586771246,0.26710936634708504
Kamrup,353779,325447,82.13,40.3,-0.08008389418252639,0.12538244232698947
Kancheepuram,337259,431574,84.49,41.86,0.2796515437690321,0.25607661750761285
Kandhamal,117298,109709,64.13,48.47,-0.06469846033180446,0.20813261586727821
Kangra,164566,164607,85.67,44.71,0.0002491401626095305,0.13523165606504378
Kanker,106879,100099,70.29,51.99,-0.0634362222700437,0.1748455110919825
Kannauj,260165,257682,72.7,31.67,-0.009543943266773009,0.20921842269329083
Kanniyakumari,181719,182350,91.75,36.34,0.0034723941910312075,0.11738095767641249
Kannur,279803,274318,95.1,32.66,-0.019603077879793998,0.09648676884808241
Kanpur Dehat,280435,251965,75.78,35.01,-0.10152085153422362,0.15363565938631052
Kanpur Nagar,591301,509924,79.65,34.32,-0.1376236468397652,0.12144654126409386
Kapurthala,95004,86025,79.07,34.86,-0.0945118100290514,0.14082727598837946
Karaikal,21564,22263,87.05,34.11,0.03241513633834168,0.1541940545353367
Karauli,249342,241357,66.22,43.12,-0.03202428792582076,0.2175902848296717
Karbi Anglong,150230,151681,69.25,40.1,0.009658523597151036,0.22334340943886039
Kargil,19381,19928,71.34,36.84,0.02822351787833445,0.22464940715133375
Karimganj,177431,211960,78.22,32.49,0.19460522682056686,0.26339809072822673
Karimnagar,465964,336053,64.15,49.7,-0.27880050819376606,0.1209197967224935
Karnal,192690,196610,74.73,34.28,0.02034355700866677,0.2082974228034667
Karur,103279,102731,75.6,51.04,-0.005306015743762042,0.1737495937024952
Kasaragod,159002,155807,90.09,35.41,-0.020094086866831864,0.11703836525326725
Kathua,81302,83936,73.09,32.51,0.032397726993185896,0.22311509079727437
Katihar,525449,620332,52.24,33.0,0.1805750891142623,0.3818780356457049
Katni,190717,193395,71.98,42.09,0.014041747720444428,0.20960469908817775
Kaushambi,265503,272172,61.28,39.95,0.02511836024451701,0.2679633440978068
Kawardha,111271,141904,60.85,49.14,0.275300842088235,0.35907233683529394
Kendrapara,174956,161159,85.15,32.41,-0.07885982761380005,0.12084406895447997
Kendujhar,243655,259403,68.24,42.54,0.06463236953889721,0.24725294781555895
Khagaria,278691,340880,57.92,33.64,0.2231467826374013,0.3708747130549605
Khammam,350150,281922,64.81,50.41,-0.19485363415678994,0.150478546337284
Kheda,296430,291133,82.65,40.61,-0.01786931147319772,0.1474002754107209
Kheri,636038,662296,60.56,31.45,0.04128369688603511,0.28808547875441404
Khordha,230471,237394,86.88,35.18,0.030038486403929344,0.15277539456157177
Kinnaur,9304,8246,80.0,66.9,-0.11371453138435082,0.09023418744625963
Kishanganj,287937,346904,55.46,31.3,0.2047913258803141,0.37814853035212564
Koch Bihar,387130,344645,74.78,40.01,-0.10974349701650608,0.14914660119339757
Kodagu,69574,54733,82.61,50.3,-0.21331244430390664,0.05778702227843735
Kodarma,101912,132375,66.84,35.94,0.2989147499803752,0.3556058999921501
